content
终南阴岭秀，积雪浮云端。林表明霁色，城中增暮寒。
岭外音书断，经冬复历春。近乡情更怯，不敢问来人。
千山鸟飞绝，万径人踪灭。孤舟蓑笠翁，独钓寒江雪。
打起黄莺儿，莫教枝上啼。啼时惊妾梦，不得到辽西。
功盖三分国，名成八阵图。（名成 一作：名高）江流石不转，遗恨失吞吴。
怀君属秋夜，散步咏凉天。空山松子落，幽人应未眠。
移舟泊烟渚，日暮客愁新。野旷天低树，江清月近人。
美人卷珠帘，深坐颦蛾眉。(颦 一作：蹙)但见泪痕湿，不知心恨谁。
床前明月光，疑是地上霜。举头望明月，低头思故乡。
山中相送罢，日暮掩柴扉。春草明年绿，王孙归不归？(明年 一作：年年)
月黑雁飞高，单于夜遁逃。欲将轻骑逐，大雪满弓刀。
林暗草惊风，将军夜引弓。平明寻白羽，没在石棱中。
鸣筝金粟柱，素手玉房前。欲得周郎顾，时时误拂弦。
鹫翎金仆姑，燕尾绣蝥弧。独立扬新令，千营共一呼。
独坐幽篁里，弹琴复长啸。深林人不知，明月来相照。
开元二十六年，客有从御史大夫张公出塞而还者；作《燕歌行》以示适，感征戍之事，因而和焉。汉家烟尘在东北，汉将辞家破残贼。男儿本自重横行，天子非常赐颜色。摐金伐鼓下榆关，旌旆逶迤碣石间
慈母手中线，游子身上衣。临行密密缝，意恐迟迟归。谁言寸草心，报得三春晖。
家临九江水，来去九江侧。同是长干人，生小不相识。
卢家少妇郁金堂，海燕双栖玳瑁梁。九月寒砧催木叶，十年征戍忆辽阳。白狼河北音书断，丹凤城南秋夜长。谁谓含愁独不见，更教明月照流黄。
劝君莫惜金缕衣，劝君惜取少年时。(惜取 一作：须取)花开堪折直须折，莫待无花空折枝。(花开 一作：有花)
少陵野老吞声哭，春日潜行曲江曲。江头宫殿锁千门，细柳新蒲为谁绿？忆昔霓旌下南苑，苑中万物生颜色。昭阳殿里第一人，同辇随君侍君侧。辇前才人带弓箭，白马嚼啮黄金勒。翻身向天仰射云，一笑
三月三日天气新，长安水边多丽人。态浓意远淑且真，肌理细腻骨肉匀。绣罗衣裳照暮春，蹙金孔雀银麒麟。头上何所有？翠微盍叶垂鬓唇。背后何所见？珠压腰衱稳称身。就中云幕椒房亲，赐名大国虢与
车辚辚，马萧萧，行人弓箭各在腰。耶娘妻子走相送，尘埃不见咸阳桥。(耶娘 一作：“爷”)牵衣顿足拦道哭，哭声直上干云霄。道旁过者问行人，行人但云点行频。或从十五北防河，便至四十西营田
